temperature,vegetation,rainfall,breeding_sites
28.3,0.4,0.596,4
29.1,0.3,0,3
27.5,0.5,0.002,2
26.8,0.2,0.888,1
25.6,0.1,0.041,0
28.9,0.4,0,3
26.4,0.3,4.042,1
27.2,0.2,0,2
24.3,0.1,0,0
23.9,0.1,0,0
26.6,0.3,0.31,1
27.8,0.5,2.031,3
25.7,0.2,0.614,0
28.1,0.4,0,2
26.9,0.3,0.076,1
27.3,0.2,0,2
24.9,0.1,0,0
26,0.2,0.768,1
28.5,0.5,0.565,4
27.7,0.4,0,3
25.5,0.2,0,0
27.9,0.3,0.524,2
29.4,0.4,0.605,4
26.5,0.2,0,1
25.8,0.2,0,0
28.7,0.4,0.031,3
27.6,0.3,0.05,2
29.2,0.5,0,4
24.7,0.1,0.633,0
26.1,0.2,0.494,1
27.1,0.2,1.046,2
28.2,0.5,0.391,3
25.2,0.1,0,0
28.6,0.3,0,3
27.4,0.2,0.063,2
23.7,0.1,0.07,0
26.2,0.2,0,1
28.8,0.5,0.059,4
27,0.3,0.456,1
25.3,0.1,0.095,0
29.3,0.4,0.058,4
24.6,0.1,0.048,0
26.3,0.2,0.633,1
27.9,0.4,0.013,2
28.4,0.5,0,4
26.7,0.3,0,1
27.8,0.4,0,3
25.4,0.2,0,0
28,0.3,0,2
26.5,0.3,1,1
